S.No,e-Published Date,Closing Date,Opening Date,Title and Ref.No./Tender ID,Organisation Chain,Tender Links,Organisation Name
1,2023-02-08 13:30:00,2023-03-01 16:00:00,2023-03-02 16:30:00,"[E tender for award of License to Operate Prepaid Taxi Services Outside Arrival Hall of terminal building at Raja Bhoj Airport, Bhopal.]  [AAI/BPL/Comml/PrepaidTaxi/2023][2023_AAI_143763_1]",Airports Authority of India||Western Region - AAI||BHOPAL - AAI||CNS-VABP - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SZxEbe6Nd1EtYS%2BzRRMQyIQ%3D%3D,Airports Authority of India
2,2023-02-08 13:00:00,2023-03-01 12:00:00,2023-03-02 12:00:00,"[ARMO E and M Installations at B. M. Airport, Ranchi. SH Providing Maintenance Services for E and M Installations of Operational Area and Technical Block for the Year 2023-2025.]  [AAI/RNC/ARMO-OPS/2023][2023_AAI_144446_1]",Airports Authority of India||Eastern Region - AAI||RHQ-ER - AAI||ENGG ELECT-ER - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SY%2Fs6Xdpx%2FBHAeffOOqPyyw%3D%3D,Airports Authority of India
3,2023-02-08 13:00:00,2023-02-28 18:00:00,2023-03-02 11:00:00,"[Provision of Check in counters, Ticketing counters, Gate counters and Security hold area counters for new Terminal building at Jabalpur Airport]  [Provision of Check in counters, Ticketing counters][2022_AAI_107550_1]",Airports Authority of India||Western Region - AAI||AHMEDABAD - AAI||ENGG CIVIL-VAAH - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SnITYr0YtEEtXEEzciQHHBQ%3D%3D,Airports Authority of India
4,2023-02-08 09:30:00,2023-03-01 15:00:00,2023-03-02 15:30:00,"[M O GLF installations at NSCBI Airport, Kolkata dg 2022_24 SH Maintenance of Bay identification signages at NSCBI Airport, Kolkata]  [AAC/ EMD-II /NIT/2022-24/BaySignage][2023_AAI_144399_1]",Airports Authority of India||Eastern Region - AAI||KOLKATA AIRPORT - AAI||ENGG ELECT-VECC - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SOL6y8TYaRnWrra0YUxCjLw%3D%3D,Airports Authority of India
5,2023-02-07 18:55:00,2023-02-28 15:00:00,2023-03-01 15:00:00,"[concession (short term) to operate parking management and collection of parking fees, at Land no. PT 162, Goa International Airport, Dabolim.]  [AAI/GOA/COMML/VP/PT162/2023][2023_AAI_144335_1]",Airports Authority of India||Western Region - AAI||INDORE - AAI||COMMERCIAL-VAID - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SDLJtjopihAclE84sCPqYkQ%3D%3D,Airports Authority of India
6,2023-02-07 18:00:00,2023-03-02 18:00:00,2023-03-03 18:00:00,[ External Road Signages at Trichy Airport]  [AAI/TRY/PROJECT/SIGNAGE/2023][2023_AAI_144510_1],Airports Authority of India||Southern Region - AAI||TRICHY - AAI||ENGG CIVIL-VOTR - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=S%2FoDjuIkLRL2JbZsYzFE%2F0A%3D%3D,Airports Authority of India
7,2023-02-07 18:00:00,2023-02-28 18:00:00,2023-03-02 11:30:00,"[Special repair of boundary wall near old power house to airport main gate and decoration of this wall alongwith surface of profile sheet view cutter along car parking by providing local/traditional theme based painting work at LBSI Airport, Varanasi]  [AAI/VNS/ENGG/Repair work/eNIT-98][2023_AAI_144306_1]",Airports Authority of India||Northern Region - AAI||VARANASI - AAI||ENGG CIVIL-VARANASI - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SwSbbFJFFTs3hJFnka2%2BPnw%3D%3D,Airports Authority of India
8,2023-02-07 17:30:00,2023-02-28 11:00:00,2023-03-01 11:30:00,"[ARMO of EM Installations 2022 23 SH Replacement of Resin, Sand filter, carbon filter and associated works at STP, WTP at Vijayawada Airport]  [AAI/BZ/JGM (E)/eNIT-MW-05/2022-23/1][2022_AAI_138019_1]",Airports Authority of India||Southern Region - AAI||RHQ-SR - AAI||ENGG ELECT-SR - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SEEiiqjPrRqIYgGFdN8PCDA%3D%3D,Airports Authority of India
9,2023-02-07 17:00:00,2023-02-15 15:00:00,2023-02-16 15:30:00,[SITC of 50kW Ground Mounted PV Solar Power Plant at AAI. Keshod]  [AAI/WR/KESHOD/AGM(EE)/01][2023_AAI_143948_1],Airports Authority of India||Western Region - AAI||RHQ-WR - AAI||ENGG ELECT-WR - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=S2AHjC6vAr2SvRX04e8IrFQ%3D%3D,Airports Authority of India
10,2023-02-07 15:00:00,2023-02-21 18:00:00,2023-02-23 11:00:00,"[Construction of swimming pool at AAIOI, Safdarjung Airport, New Delhi]  [AAI/NATS/E-C/SWIM-POOL/2023][2023_AAI_143828_1]",Airports Authority of India||CHQ - AAI||Planning - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=S4N8Q7TcekDsxsQUdpDLGkA%3D%3D,Airports Authority of India
